,C,H,N,O,P,S
carbamoyl phosphate,1.0,4.0,1.0,5.0,1.0,0.0
L-citrulline,6.0,13.0,3.0,3.0,0.0,0.0
L-aspartate,4.0,7.0,1.0,4.0,0.0,0.0
arginosuccinate,10.0,18.0,4.0,6.0,0.0,0.0
fumarate,4.0,4.0,0.0,4.0,0.0,0.0
arginine,6.0,14.0,4.0,2.0,0.0,0.0
orthinine,5.0,12.0,2.0,2.0,0.0,0.0
urea,1.0,4.0,2.0,1.0,0.0,0.0
phosphate,0.0,3.0,0.0,4.0,1.0,0.0
ATP,10.0,16.0,5.0,13.0,3.0,0.0
AMP,10.0,14.0,5.0,7.0,1.0,0.0
diphosphate,0.0,4.0,0.0,7.0,2.0,0.0
H2O,0.0,2.0,0.0,1.0,0.0,0.0
NADPH,21.0,30.0,7.0,17.0,3.0,0.0
H+,0.0,1.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,2.0,0.0,0.0
NO,0.0,0.0,1.0,1.0,0.0,0.0
NADP+,21.0,29.0,7.0,17.0,3.0,0.0